Mac ID,Customer,DeviceName,Model,Firmware,SPO2,BVP,LoggedUser,OperatorName,Time,Success/Failure,Error Code,Error Description
087cbe84e604,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:30:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92d87c,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:30:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe91d800,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:30:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e465,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:31:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92d8e0,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:31:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe9391bf,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:31:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e32d,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:31:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92d976,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:32:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe91d7fe,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:32:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e789,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:32:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe91d7fd,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:32:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92daa9,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:33:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe92da12,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:33:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e891,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:33:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e671,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:33:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e66f,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:34:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
087cbe84e890,ChoiceMMed,iFeelC,C228,1.1.2,yes,no,choicemmed,zhou,2019-04-16T02:34:00,"No Error in : thread-1,No Error in : thread-2,No Error in : thread-3",0,
